Titre,Statut,Période,Durée,Genre,Réalisateur,Perso Principal,Nationalité,Chaîne,Note press,Critiques press,Note public,Saisons,Épisodes,Description
12 Monkeys,Terminée,2015 - 2018,42,Drame,Natalie Chaidez,Aaron Stanford,U.S.A.,SyFy US,2.5,10,2.5,4,47,"Nous sommes en l'an 2043. Les quelques milliers d'habitants qui restent sur notre planète sont contraints de vivre sous terre. La surface du globe est devenue inhabitable à la suite d'un virus ayant décimé 99% de la population. Les survivants mettent tous leurs espoirs dans un voyage à travers le temps pour découvrir les causes de la catastrophe et la prévenir. C'est James Cole, hanté depuis des années par une image incompréhensible, qui est désigné pour cette mission.Adaptation en série du film de Terry Gilliam, L'Armée des 12 singes (1995)."
Quantico,Annulée,2015 - 2018,42,Drame,Joshua Safran,Priyanka Chopra Jonas,U.S.A.,ABC,3.4,16,3.4,3,57,"De jeunes recrues du FBI se battent de toutes leurs forces sur le camp d'entraînement de Quantico en Virginie, entre tests d'endurance physique, cours de tir, et maîtrise de l'art de l'enquête et de l'interrogatoire. Ils ont 50% de chances d'échouer et la compétition fait rage. 9 mois plus tard, l'un d'entre eux est suspecté d'avoir commis la plus grosse attaque terroriste sur le sol américain depuis le 11 Septembre 2001..."
Marvel's Luke Cage,Annulée,2016 - 2018,52,Fantastique,Cheo Hodari Coker,Mike Colter,U.S.A.,Netflix,3.6,9,3.6,2,26,"Transformé en colosse surpuissant à la peau impénétrable après avoir été le cobaye d'une expérience sabotée, Luke Cage s'enfuit et tente de recommencer à zéro dans le Harlem d'aujourd'hui, à New York. Bientôt tiré de l'ombre, il va devoir se battre pour le cœur de sa ville dans un combat qui l'oblige à affronter un passé qu'il espérait avoir enterré."
Patriot,Annulée,2017 - 2018,58,Comédie,Steve Conrad,Michael Dorman,U.S.A.,Amazon,,,3.5,2,18,"Le quotidien d'un agent secret est parfois extrêmement compliqué. La dernière mission de John&nbsp;Tavner l'amène à se faire passer pour un cadre moyen d’une entreprise du Midwest spécialisée dans les canalisations. La tâche s'annonce d'autant plus ardue qu'il&nbsp;doit travailler sans filet et sous ""couverture non officielle"".&nbsp;Victime d’un syndrome de stress post-traumatique, de l’incompétence du gouvernement fédéral et des difficultés liées à sa couverture dans l’entreprise, Tavner est confronté à une série de déconvenues de plus en plus sérieuses, qui mettent en péril sa mission et l'obligent&nbsp;à choisir entre plusieurs mauvaises solutions. À mesure qu’il met à jour les plans de ses ennemis et tente de cacher ses découvertes, la situation ne fait que s’envenimer.&nbsp;Poussé jusqu'à ses limites, notre espion est à deux doigts d'atteindre le point de rupture..."
Good Behavior (2016),Annulée,2016 - 2017,60,Drame,Chad Hodge,Michelle Dockery,U.S.A.,TNT,,,3.9,2,20,"Letty Raines est une voleuse et arnaqueuse professionnelle dont les choix désastreux la conduisent, bien souvent, droit dans le mur. Tout juste sortie de prison pour bonne conduite, la jeune femme tente de se reconstruire en renouant avec son fils de 10 ans élevé par sa grand-mère. Malheureusement, Letty semble être un aimant à ennuis. Une vérité qui se précise lorsqu’elle se retrouve sur la route d’un tueur à gages. Une relation aussi dangereuse qu’excitante va alors rapidement se nouer entre eux."
Captain Tsubasa (2018),,2018 - 2019,25,Comédie,Yoshifumi Fukushima,Yuko Sanpei,Japon,TV Tokyo,,,3.9,1,52,"Tsubasa est un jeune garçon fan de football. Son rêve ? Devenir le meilleur footballer au monde ! Nouveau en ville, il va découvrir de nombreux jeunes talents avec qui il pourra progresser et tenter de réaliser son rêve ! Par ailleurs, le jeune joueur peut compter sur Roberto, une star du football brésilien, pour le conseiller et surmonter tous les obstacles ! Assistant à un match improvisé, un joueur va énormément le marquer. Mais qui est ce jeune prodige qui garde les buts comme personne ? Tsubasa réussira-t-il à le surpasser ?"
Ugly Americans,,2010 - 2012,26,Animation,David M. Stern,Matt Oberg,U.S.A.,Comedy Central,,,3.9,2,31,"Mark Lilly, un travailleur social chargé de l'intégration d'immigrants, a fort à faire dans un monde peuplé de zombies et autres créatures improbables."
The Musketeers,Annulée,2014 - 2016,52,Aventure,Adrian Hodges,Maimie McCoy,Grande-Bretagne,BBC,3.2,5,3.2,3,30,"Dans la France du XVIIe&nbsp;siècle, les aventures d'Athos, Porthos, Aramis et d'Artagnan, quatre frères mousquetaires du Roi, sous les ordres du capitaine Tréville, déjouent les complots organisés par le cardinal de Richelieu, le comte de Rochefort et la mystérieuse Milady de Winter...Inspirée du roman éponyme d'Alexandre Dumas."
El barco,,2011 - 2013,75,Aventure,Iván Escobar,Mario Casas,Espagne,Antena 3,,,3.8,,,
Soy Luna,Terminée,2016 - 2018,45,Comédie,Jorge Edelstein,Karol Sevilla,Argentine,Disney Channel Spain,,,4.0,3,220,"Luna glisse avec bonheur sur la vie comme sur ses rollers ! Comme toutes les jeunes filles de son âge, elle vit avec sa famille entourée d’amis et découvre la vie entre ses cours et son job de serveuse. Mais ce qu’elle aime par-dessus tout, c’est se balader sur ses rollers le long des plages de Cancùn en écoutant les chansons que son meilleur ami, Simon, a écrit pour elle.Sa vie se déroule paisiblement dans le bonheur jusqu’au jour où ses parents sont appelés à quitter le Mexique pour l’Argentine au service d’une étrange milliardaire.À Buenos Aires, Luna doit s’adapter à cette nouvelle vie, rencontrer de nouveaux amis, sa familiariser avec un nouveau collège et apprendre à vivre dans une luxueuse villa. Heureusement qu’elle a ses rollers… qui l’amène à découvrir un endroit exceptionnel : le Jam &amp; Roller ! Un vrai paradis pour tous les skaters où ils peuvent laisser libre-cours à leurs talents dans des freestyle en musique.En Argentine, Luna va découvrir bien plus qu’elle ne le pensait : elle va révéler sa véritable identité, assouvir sa passion pour le roller et rencontrer son premier amour !"
